原始流派名称,建议合并后简体流派名称,处理建议,理由,人工确认
69,69,保留,数字体位标签，保留,
1080p,1080p,保留,清晰度规格标签，保留,
30多岁,30多岁,保留,年龄段标签，保留,
40多岁,40多岁,保留,年龄段标签，保留,
4K,4K,保留,清晰度规格标签，保留,
60fps,60fps,保留,帧率规格标签，保留,
8K VR,8K VR,保留,清晰度/VR 规格标签，保留,
阿姨,阿姨,保留,保留,
艾曼纽,艾曼纽,保留,系列/主题标签，保留,
按摩按摩棒,按摩棒,合并/修正,重复词修正,
蛮横娇羞,傲娇,人工确认,旧译名不自然，建议统一为常用表达,是
白人,白人,保留,保留,
伴侣,伴侣,保留,保留,
薄马赛克,薄码,合并/修正,表达统一,
猥亵穿着,暴露服装,人工确认,旧译名不自然，建议使用服装类表达,是
不穿内裤,不穿内裤,保留,已是简体中文或通用规格标签，建议保留,
不穿胸罩,不穿胸罩,保留,已是简体中文或通用规格标签，建议保留,
采访,采访,保留,保留,
残忍画面,残酷画面,合并/修正,表达统一,
超乳足交,超乳足交,保留,保留,
潮吹潮吹芑,潮吹,人工确认,疑似“潮吹/潮吹き”粘连并错字，建议并入潮吹,是
汽车性爱,车内性爱,合并/修正,表达统一,
痴女,痴女,保留,保留,
首次亮相,出道,合并/修正,表达统一,
出轨,出轨,合并/修正,与通奸/不忠类标签统一,
白天出轨,出轨,合并/修正,近义项合并,
通奸,出轨,合并/修正,与出轨/不忠类标签统一,
处男,处男,保留,保留,
粗暴,粗暴,保留,保留,
打屁股,打屁股,保留,保留,
打樁機,打桩机,合并/修正,繁简转换,
单体作品,单体作品,保留,保留,
単体作品,单体作品,合并/修正,日文汉字统一为简体中文,
倒追,倒追,合并/修正,与逆搭讪类标签近义，统一,
主觀視角,第一视角,合并/修正,繁体/近义项合并,
主观视角,第一视角,合并/修正,近义项合并,
第一人稱攝影,第一视角,合并/修正,繁体/近义项合并,
第一视角,第一视角,保留,保留,
女优按摩棒,电动按摩棒,合并/修正,旧译名不准确，并入电动按摩棒,
电动按摩棒,电动按摩棒,保留,保留,
短发,短发,保留,保留,
複数話,多集,合并/修正,繁简转换并表达统一,
3P、4P,多P,合并/修正,3P/4P 与多P合并,
多P,多P,保留,保留,
恶作剧,恶作剧,保留,保留,
放尿,放尿,保留,保留,
粉丝答谢/探访,粉丝答谢,保留,保留,
ぼっちゃり,丰满/微胖,翻译,日文翻译，与微胖类标签统一,
胖女人,丰满/微胖,合并/修正,表达更中性，并与微胖类标签合并,
健康与肥皂店,风俗/泡泡浴,合并/修正,旧译名不准确，并入风俗/泡泡浴,
风俗/泡泡浴,风俗/泡泡浴,保留,保留,
卖淫,风俗娘/性工作者,人工确认,近义项合并，表达更中性,是
妓女,风俗娘/性工作者,人工确认,近义项合并，表达更中性,是
風俗孃,风俗娘/性工作者,人工确认,繁简转换并语义规范,是
服务生,服务生,保留,保留,
复刻版,复刻版,保留,保留,
アナル,肛交,翻译,日文翻译，并入肛交标签,
肛交,肛交,保留,保留,
肛内中出,肛交,保留,保留,
アクメ·オーガズム,高潮,翻译,日文翻译，并入高潮标签,
高潮,高潮,保留,保留,
高品质VR,高品质VR,保留,VR 画质标签，保留,
高清,高清,保留,画质标签，保留,
高画质,高清,合并/修正,画质近义词统一,
高个子,高挑,合并/修正,与高挑合并,
高個子,高挑,合并/修正,繁简转换并合并,
高挑,高挑,合并/修正,与高个子合并,
高,高挑,人工确认,单字标签含义不完整，可能是高个子标签截断,是
格斗家,格斗,人工确认,旧译名像人物身份，建议改为类型名,是
故事集,故事集,保留,保留,
寡妇,寡妇,保留,保留,
灌肠,灌肠,保留,保留,
国外进口,海外进口,合并/修正,表达统一,
汗流浃背,汗流浃背,保留,保留,
合集,合集,保留,保留；不强行并入精选合集,是
合作作品,合作作品,保留,保留,
和服/浴衣,和服/浴衣,保留,保留,
和服•丧服,和服/浴衣,人工确认,旧译名与现有和服/浴衣类近似，建议合并,是
浴衣,和服/浴衣,合并/修正,近义项合并,
浴衣和服,和服/浴衣,合并/修正,近义项合并,
黑暗系统,黑暗系,合并/修正,表达统一,
黑人演员,黑人演员,保留,保留,
后入,后入式,合并/修正,表达补全,
护士,护士,保留,保留,
幻想,幻想,保留,保留,
肌肉,肌肉,保留,保留,
及膝袜,及膝袜,保留,保留,
纪录片,纪录片,保留,保留,
婆婆,继母/义母,合并/修正,前次确认“義母/婆婆”旧译名应统一为继母/义母,
義母,继母/义母,合并/修正,繁简转换并与继母/义母统一,
妄想家庭,家庭幻想,人工确认,旧译名不自然，建议统一,是
女儿与继女,女儿/继女,人工确认,家庭关系类标签敏感且可能误译，需确认是否保留,是
家教,家庭教师,合并/修正,表达补全,
假阳具,假阳具,保留,保留,
女儿,假阳具,人工确认,前次发现是“ディルド”的旧错误翻译，建议改回假阳具,是
监禁,监禁,保留,保留,
讲师,讲师,保留,保留,
交换伴侣与换夫,交换伴侣,合并/修正,表达格式统一,
娇小的,娇小,合并/修正,表达统一,
コスプレ,角色扮演,翻译,日文翻译，并入角色扮演,
角色扮演,角色扮演,保留,保留,
角色扮演者,角色扮演,合并/修正,近义项合并,
教学,教学,保留,保留,
接待员,接待员,保留,已是简体中文或通用规格标签，建议保留,
キス·接吻,接吻,翻译,日文/中文混写统一,
接吻,接吻,保留,保留,
姐妹,姐妹,保留,保留,
介绍影片,介绍/预告,人工确认,含义偏介绍片，建议统一为介绍/预告,是
仅限流媒体播放,仅限流媒体播放,保留,发行方式标签，保留,
身体意识,紧身裙,合并/修正,前次确认“ボディコン/身体意识”应优化为紧身裙,
紧身衣,紧身衣,保留,保留,
ベスト,精选合集,翻译,日文翻译，并入精选合集,
ベスト·総集編,精选合集,翻译,日文翻译，并入精选合集,
精选合集,精选合集,保留,保留,
酒店,酒店,保留,保留,
局部アップ,局部特写,翻译,日文翻译，并入局部特写,
局部特写,局部特写,保留,保留,
巨根,巨根,保留,保留,
巨乳,巨乳,保留,保留,
巨乳フェチ,巨乳恋物,翻译,日文翻译，保留恋物含义,
多人大屁股,巨臀,人工确认,错译/冗余表达，建议并入巨臀,是
巨大屁股,巨臀,合并/修正,近义项合并,
巨尻,巨臀,合并/修正,日文汉字标签翻译，并入巨臀,
戏剧,剧情,合并/修正,前次确认 Drama 应译为剧情,
科幻,科幻,保留,保留,
空中小姐,空姐,合并/修正,表达统一,
口內射精,口爆,合并/修正,繁简转换,
フェラ,口交,翻译,日文翻译，并入口交标签,
口交,口交,保留,保留,
口内射精,口内射精,保留,保留,
变性者,跨性别/变性者,人工确认,表达统一,是
鸭嘴,器械,人工确认,器械标签含义较窄，需确认命名,是
紧缚,捆绑,合并/修正,与捆绑合并,
縛,捆绑,合并/修正,日文/繁体写法合并,
緊縛,捆绑,合并/修正,日文/繁体写法合并,
拘束,捆绑,合并/修正,与捆绑/紧缚合并,
捆绑,捆绑,合并/修正,与紧缚合并,
蜡烛,蜡烛,保留,保留,
辣妹,辣妹,保留,保留,
啦啦队长,啦啦队,合并/修正,表达统一,
滥交,滥交,保留,保留,
爷爷,爷爷,人工确认,关系称谓类标签，建议人工确认是否保留,是
立即口交,立即性爱,合并/修正,与立即性爱近义项合并，沿用前次确认规则,
立即性爱,立即性爱,保留,保留,
パンスト·タイツ,连裤袜/丝袜,翻译,日文翻译，与连裤袜类标签统一,
连裤袜,连裤袜/丝袜,合并/修正,同义项合并,
恋爱,恋爱/情侣,合并/修正,与情侣类标签合并,
情侣,恋爱/情侣,合并/修正,与恋爱类标签合并,
恋物癖,恋物癖,保留,保留,
猎艳,猎艳,合并/修正,与搭讪类标签近义，统一,
淋浴,淋浴,保留,保留,
凌辱,凌辱,合并/修正,与羞辱类标签近义，统一,
美胸,凌辱,合并/修正,美乳/美胸同义合并,
羞耻/羞辱,凌辱,合并/修正,与羞辱类标签近义，统一,
羞辱,凌辱,合并/修正,与凌辱类标签近义，统一,
露乳,露乳,保留,保留,
旅行,旅行,保留,保留,
寝取り·寝取られ,绿帽,翻译,NTR 类标签统一,
寝取り·寝取られ·NTR,绿帽,翻译,NTR 类标签统一,
绿帽/戴绿帽,绿帽,合并/修正,NTR 类标签统一,
乱伦,乱伦,保留,保留,
近親相姦,乱伦,合并/修正,日文/繁体写法翻译，并入乱伦,
轮奸,轮奸,保留,保留；不与多P强行合并,是
裸体围裙,裸体围裙,保留,保留,
猫耳女,猫耳女,合并/修正,表达统一,
美白,美白,保留,保留,
美女,美女,保留,保留,
美容院,美容院/按摩,合并/修正,与美容院/按摩类标签统一,
美容院/按摩,美容院/按摩,保留,保留,
美乳,美乳,合并/修正,美乳/美胸同义合并,
美少女,美少女,保留,保留,
美腿,美腿,保留,保留,
美臀,美臀,保留,保留,
迷你裙,迷你裙,保留,保留,
迷你系列,迷你系列,保留,保留,
秘书,秘书,保留,保留,
スレンダー,苗条,翻译,日文翻译，并入苗条标签,
苗条,苗条,保留,保留,
名人,名人,人工确认,与艺人类标签近似，但含义略宽,是
模特儿,模特,合并/修正,表达统一,
母亲,母亲,保留,保留,
母乳,母乳,保留,保留,
男性喷水,男性喷水,保留,保留,
内嵌字幕,内嵌字幕,保留,保留,
内射,内射,合并/修正,同义项合并,
内衣,内衣,保留,保留,
女大学生,女大学生,保留,保留,
女检察官,女检察官,保留,保留,
女教师,女教师,保留,保留,
女主人、女老板,女老板,合并/修正,近义项合并,
女老板,女老板,保留,保留,
女忍者,女忍者,保留,保留,
女虐待狂,女施虐,合并/修正,表达更准确,
女同接吻,女同接吻,保留,保留,
女同性恋,女同性恋,保留,保留,
给女性观众,给女性观众,合并/修正,表达统一,
女医生,女医生,保留,保留,
女佣,女佣,保留,保留,
AV女優,女优,合并/修正,日文/繁体写法统一为简体中文,
女優,女优,合并/修正,日文/繁体写法统一为简体中文,
女优精选合集,女优精选合集,保留,保留,
女優ベスト·総集編,女优精选合集,翻译,日文翻译，并入女优精选合集,
女主播,女主播,保留,保留,
女装人妖,人妖/伪娘,人工确认,表达统一,是
アイドル,偶像艺人,翻译,日文翻译，与偶像/艺人类标签统一,
アイドル·芸能人,偶像艺人,翻译,日文翻译，与偶像/艺人类标签统一,
偶像艺人,偶像艺人,保留,保留,
泡泡袜,泡泡袜,保留,保留,
小胸,贫乳/微乳,合并/修正,与贫乳/微乳合并,
貧乳•微乳,贫乳/微乳,合并/修正,繁简/分隔符统一,
贫乳•微乳,贫乳/微乳,合并/修正,分隔符统一,
破解,破解/流出,人工确认,含义不够明确，需确认是否并入流出类,是
その他フェチ,其他恋物癖,翻译,日文翻译，与已有简体标签统一,
其他恋物癖,其他恋物癖,保留,保留,
女上位,骑乘位,合并/修正,与骑乘位合并,
騎乘位,骑乘位,合并/修正,繁简转换并合并,
骑乘位,骑乘位,合并/修正,与女上位合并,
企画,企划,合并/修正,日文汉字转简体,
千金小姐,千金小姐,保留,保留,
童年朋友,青梅竹马,合并/修正,表达更自然,
お姉さん,轻熟女/姐姐,翻译,日文标签翻译，并与既有姐姐类标签统一,
姐姐,轻熟女/姐姐,合并/修正,同义/近义项合并,
轻熟女/姐姐,轻熟女/姐姐,保留,已是建议目标名，保留,
干净,清纯,合并/修正,前次确认“清楚/干净”应优化为清纯,
清纯,清纯,保留,保留,
拳交,拳交,保留,保留,
人妻,人妻,合并/修正,与主妇/已婚妇女类标签统一,
人妻·主婦,人妻,合并/修正,繁简/日文混写统一,
已婚妇女,人妻,合并/修正,近义项合并,
日光浴,日光浴,保留,保留,
柔软的身体,柔软身体,合并/修正,表达统一,
乳房,乳房,保留,保留,
恋乳癖,乳房恋物,合并/修正,表达统一,
パイズリ,乳交,翻译,日文翻译，并入乳交标签,
乳交,乳交,保留,保留,
戏弄,辱骂/责骂,合并/修正,前次确认旧译名应优化为辱骂/责骂,
乳液,润滑油,合并/修正,旧译名容易误解，建议并入润滑液,
润滑液,润滑油,保留,保留,
润肤露/油,润滑油,人工确认,旧译名不自然，统一为润滑油/油浴,是
赛车女郎,赛车女郎,保留,保留,
瘙痒,瘙痒,保留,保留；语义略怪，需确认,是
俱乐部活动与经理,社团经理,人工确认,疑似“部活/经理”类标签，建议简化,是
深喉,深喉,保留,保留,
时问停止,时间停止,合并/修正,错别字修正,
打手枪,手交,合并/修正,表达统一,
受虐狂,受虐,合并/修正,表达统一,
受虐狂女性,受虐,合并/修正,表达统一,
成熟的女人,熟女,合并/修正,与熟女类标签近义，统一,
熟女,熟女,保留,保留,
美丽成熟女性,熟女,合并/修正,与熟女类标签近义，统一,
数位马赛克,数码马赛克,合并/修正,大陆常用译法,
双性人,双性人,保留,保留,
业余,素人,合并/修正,与素人作品近义，统一,
素人作品,素人,合并/修正,与业余近义，统一,
射在外陰,体外射精,人工确认,繁简/表达统一，需确认语义是否准确,是
体验忏悔,体验告白,人工确认,疑似旧译名，建议改为更常用表达,是
舔阴,舔阴,保留,保留,
跳蛋,跳蛋,保留,保留,
跳舞,跳舞,保留,保留,
偷窥,偷窥,保留,保留,
投稿,投稿,保留,保留,
兔女郎,兔女郎,保留,保留,
恋腿癖,腿控,合并/修正,表达统一,
后宮吞精,吞精,人工确认,疑似错译/混入字符，建议并入吞精,是
屁股,臀部,合并/修正,表达统一,
娃娃,娃娃,保留,保留,
娃娃脸,娃娃脸,保留,保留,
玩具,玩具,保留,保留,
妄想,妄想,保留,保留,
温泉,温泉,保留,保留,
无码流出,无码流出,保留,保留,
パイパン,无毛,翻译,日文翻译，并入无毛标签,
无毛,无毛,保留,保留,
無套,无套,合并/修正,繁简转换,
学校作品,校园作品,人工确认,表达统一，需确认是否保留,是
新娘,新娘,保留,保留,
新娘、年轻妻子,新娘,合并/修正,分隔符统一,
性伴侶,性伴侣,合并/修正,繁简转换,
性感,性感,保留,保留,
性教育,性教育,保留,保留,
性别转型•女性化,性转/女性化,合并/修正,格式统一,
羞耻,羞耻,保留,保留；与凌辱/羞辱相近但不完全相同,是
堵嘴·喜刷処女,需拆分：恶搞喜剧、处女,拆分,疑似多个标签粘连并含日文/错字，需要人工拆分确认,是
女子校生,女子校生,人工确认,校园/学生类标签建议统一，并需确认是否保留,是
女生,女生,人工确认,含义过泛，疑似学生类标签，需确认,是
学生服,校服,人工确认,校园/学生类标签建议统一，并需确认是否保留,是
校服,校服,人工确认,校园/学生类标签建议统一，并需确认是否保留,是
水手服,水手服,人工确认,校园/学生类标签建议统一，并需确认是否保留,是
高中女生,高中女生,人工确认,校园/学生类标签建议统一，并需确认是否保留,是
学校泳装,学校泳装,保留,校园服装类标签，需确认是否保留,是
顏面骑乘,颜面骑乘,合并/修正,繁简转换,
颜面骑乘,颜面骑乘,保留,保留,
顏射,颜射,合并/修正,繁简转换,
颜射,颜射,保留,保留,
眼镜,眼镜,保留,保留,
药物,药物,保留,保留,
野外•露出,野外露出,合并/修正,分隔符统一,
医院与诊所,医院/诊所,合并/修正,格式统一,
插入异物,异物插入,合并/修正,语序统一,
婊子,淫乱,人工确认,贬义近义项合并，建议用较稳定标签,是
淫乱,淫乱,保留,保留,
花痴,淫乱,人工确认,近义项合并，需确认是否过度合并,是
荡妇,淫乱,人工确认,贬义近义项合并，建议用较稳定标签,是
淫语,淫语,保留,保留,
饮酒派对与集体约会,饮酒派对/联谊,人工确认,表达统一,是
饮尿,饮尿,保留,保留,
硬核,硬核,保留,保留,
泳装,泳装,保留,保留,
浴室,浴室,保留,保留,
与原创作品合作,原作合作,合并/修正,旧译名不自然，建议并入原作合作,
原作コラボ,原作合作,翻译,日文翻译，并入原作合作,
约会,约会,保留,保留,
怀孕,孕妇,合并/修正,表达统一,
运动,运动,保留,保留,
体育服,运动服,合并/修正,表达更自然，并与运动服装类统一,
运动员,运动员,保留,保留,
早泄,早泄,保留,保留,
宅男宅女,宅男宅女,保留,保留,
展场女孩,展场女孩,保留,保留,
長時間,长时间,合并/修正,繁简转换,
折磨,折磨,保留,保留,
震动,震动玩具,人工确认,语义补全，避免单词过泛,是
下属与同事不忠,职场出轨/不忠,人工确认,保留职场场景，同时统一不忠表达,是
OL,职场女性,合并/修正,OL 与职场女性统一,
白领,职场女性,合并/修正,与 OL/职场女性类标签合并,
职业套装,职场女性,合并/修正,与 OL/职场女性类标签合并,
职场女性,职场女性,保留,保留,
各种职业,职业角色,合并/修正,表达简化,
手指插入,指法/手指插入,合并/修正,与指法合并,
指法,指法/手指插入,合并/修正,与手指插入合并,
制服剃毛,制服剃毛,保留,保留,
中出,中出,保留,保留,
中出し,中出,翻译,日文翻译，并入中出标签,
子宫颈,子宫颈,保留,保留,
手淫,自慰,合并/修正,同义项合并,
自慰,自慰,保留,保留,
自慰支持,自慰辅助,合并/修正,表达统一,
D罩杯,D罩杯,保留,罩杯标签，保留,
DMM专属,DMM独家,合并/修正,专属/独家同义，统一为一个品牌独占标签,
DMM独家,DMM独家,保留,品牌独占标签，保留,
E罩杯,E罩杯,保留,罩杯标签，保留,
G罩杯,G罩杯,保留,罩杯标签，保留,
MGS独家花絮,MGS独家花絮,保留,品牌/来源标签，保留,
SM,SM,保留,通用缩写，保留,
VR专用,VR,合并/修正,VR 专用与 VR 类标签合并,
