分类,原始流派名称,当前代码翻译流派名称,建议优化翻译流派名称,优化建议,人工确认
电影,Action,动作,,,
电影,Adult,成人,,,
电影,Adventure,冒险,,,
电影,Animation,动画,,,
电影,Anime,动漫,,,
电影,Biography,传记,,,
电影,Children,儿童,,,
电影,Comedy,喜剧,,,
电影,Crime,犯罪,,,
电影,Documentary,纪录片,,,
电影,纪录,纪录片,,,
电影,Drama,戏剧,剧情,与剧集翻译和常见媒体库类型命名保持一致。,是
电影,Eastern,东方,,,
电影,Erotic,情色,,,
电影,Family,家庭,,,
电影,Fantasy,幻想,奇幻,`奇幻`更像正式类型标签，`幻想`偏直译。,是
电影,魔幻,奇幻,,,
电影,Film Noir,黑色影片,,,
电影,History,历史,,,
电影,Holiday,节日,,,
电影,Horror,恐怖,,,
电影,Indie,独立影片,,,
电影,Martial Arts,格斗家,功夫,`格斗家`是人物，不是影片类型。,是
电影,Music,音乐,,,
电影,Musical,音乐剧,,,
电影,Mystery,悬疑,,,
电影,悬念,悬疑,,,
电影,News,新闻,,,
电影,Reality TV,真人秀,,,
电影,Reality,真人秀,,,
电影,Romance,爱情,,,
电影,Science Fiction,科幻,,,
电影,Short,短片,,,
电影,Sport,运动,,,
电影,Suspense,悬疑,悬疑,避免保留链式中间值，直接落到最终类型。,否
电影,TV Movie,电视电影,,,
电影,Thriller,惊悚,,,
电影,War,战争,,,
电影,Western,西部,,,
电影,superhero,超级英雄,,,
电影,Animal,动物,,,
电影,War & Politics,战争与政治,,,
电影,拷問,折磨,,,
电影,ゲロ,呕吐,,,
电影,触手,触手,,,
电影,ツンデレ,蛮横娇羞,,,
电影,童貞,处男,,,
电影,ショタ,正太控,,,
电影,寝取り・寝取られ,绿帽/戴绿帽,,,
电影,くすぐり,瘙痒,,,
电影,スポーツ,运动,,,
电影,レズキス,女同接吻,,,
电影,セクシー,性感,,,
电影,エステ,美容院,,,
电影,処女,处女,,,
电影,泥酔,烂醉如泥的,,,
电影,残虐表現,残忍画面,,,
电影,妄想,妄想,,,
电影,イタズラ,恶作剧,,,
电影,学園もの,学校作品,,,
电影,鬼畜,粗暴,,,
电影,不倫,通奸,,,
电影,姉・妹,姐妹,,,
电影,ふたなり,双性人,,,
电影,ダンス,跳舞,,,
电影,調教・奴隷,性奴,,,
电影,逆ナン,倒追,,,
