原始流派名称,当前代码处理结果,建议合并后简体流派名称,处理建议,理由,人工确认
3D,3D,3D,保留,已是简体中文或通用规格/专名，建议保留,
３P,３P,多P,翻译/合并,与“３P、3P・4P、3P、4P”等统一为同一简体流派,
3P・4P,多P,多P,翻译/合并,与“３P、3P・4P、3P、4P”等统一为同一简体流派,
3P,3P,多P,翻译/合并,与“３P、3P・4P、3P、4P”等统一为同一简体流派,
4P,4P,多P,翻译/合并,与“３P、3P・4P、3P、4P”等统一为同一简体流派,
4人性爱,4人性爱,多P,翻译/合并,与“３P、3P・4P、3P、4P”等统一为同一简体流派,
4時間以上作品,4小时以上作品,4小时以上作品,翻译/合并,与“4時間以上作品、4小时以上作品、4小時以上作品”统一为同一简体流派,
4小时以上作品,4小时以上作品,4小时以上作品,保留,已是简体中文或通用规格/专名，建议保留,
4小時以上作品,4小时以上作品,4小时以上作品,简体/写法统一,与“4時間以上作品、4小时以上作品、4小時以上作品”统一为同一简体流派,
4K,4K,4K,保留,已是简体中文或通用规格/专名，建议保留,
8K VR,8K VR,8K VR,保留,已是简体中文或通用规格/专名，建议保留,
8KVR,8K VR,8K VR,翻译/合并,与“8K VR、8KVR”统一为同一简体流派,
10代,10代,10多岁,翻译/合并,翻译为简体中文或修正不自然写法,
10英寸以上,10英寸以上,10英寸以上,保留,已是简体中文或通用规格/专名，建议保留,
16时间以上作品,16时间以上作品,16时间以上作品,保留,已是简体中文或通用规格/专名，建议保留,
18歳以上,18歳以上,18岁以上,简体/写法统一,繁体、日文汉字或全角写法统一为简体/半角形式,
30多岁,30多岁,30多岁,保留,已是简体中文或通用规格/专名，建议保留,
40多岁,40多岁,40多岁,保留,已是简体中文或通用规格/专名，建议保留,
60fps,60fps,60fps,保留,已是简体中文或通用规格/专名，建议保留,
69,69,69,保留,已是简体中文或通用规格/专名，建议保留,
1080p,1080p,1080p,保留,已是简体中文或通用规格/专名，建议保留,
阿姨,阿姨,阿姨,保留,已是简体中文或通用规格/专名，建议保留,
艾曼纽,艾曼纽,艾曼纽,保留,已是简体中文或通用规格/专名，建议保留,
爱情旅馆,爱情旅馆,爱情旅馆,保留,已是简体中文或通用规格/专名，建议保留,
按摩,按摩,按摩,保留,已是简体中文或通用规格/专名，建议保留,
按摩棒,按摩棒,按摩棒,保留,已是简体中文或通用规格/专名，建议保留,
傲娇,傲娇,傲娇,保留,已是简体中文或通用规格/专名，建议保留,
奥斯曼株式会社,奥斯曼株式会社,奥斯曼公司,翻译/合并,日文公司类型整体翻译为简体中文标签,已确认
